TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
10-07-2026,10-07-2026,CM,BSE,STK,532268,INE793A01012,ACCELYA,B,,,,,ACCELYA SOLUTIONS INDIA LIMITE,1094,1126,1094,1106.7,1106.7,1097.75,,1108.7,,,224,248381,60,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532271,INE215B01022,ORCHASP,B,,,,,ORCHASP LIMITED,1.83,1.94,1.81,1.85,1.85,1.84,,1.83,,,16910,31054,44,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532275,INE394C01023,LANDMARC,X,,,,,LANDMARC LEISURE CORPORATION L,1.8,1.89,1.8,1.87,1.89,1.8,,1.87,,,18593,34220,48,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532281,INE860A01027,HCLTECH,A,,,,,HCL TECHNOLOGIES LTD.,1173.95,1191.7,1153.25,1162.65,1167,1149.6,,1164.1,,,235603,275299377,7666,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532284,INE389D01013,TCFCFINQ,X,,,,,TCFC FINANCE LTD.,26.64,26.69,25.47,26.07,26.64,25.33,,26.07,,,1223,32528,204,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532285,INE007B01023,GEOJITFSL,B,,,,,Geojit Financial Services Limi,77.75,80,77.75,79.46,79.3,79.12,,79.4,,,10190,807219,194,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532286,INE749A01030,JINDALSTEL,A,,,,,JINDAL STEEL LIMITED,1048.8,1064,1039,1051.6,1052.75,1030.45,,1051.3,,,56091,59123971,2531,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532290,INE791A01024,BLBLIMITED,B,,,,,BLB LTD.,16.32,16.32,15.79,16.17,16,16,,16,,,7382,117734,106,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532296,INE935A01035,GLENMARK,A,,,,,GLENMARK PHARMACEUTICALS LTD.,2299.9,2303,2245.7,2282.25,2276.1,2265.25,,2282.9,,,9745,22231526,1395,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532300,INE049B01025,WOCKPHARMA,A,,,,,WOCKHARDT LTD.,1849.7,1851,1800,1811.45,1811.45,1830.35,,1810.7,,,28699,52250201,1575,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532303,INE934A01012,INTEGHIT,X,,,,,INTEGRATED HITECH LTD.,3.45,3.45,3.45,3.45,3.45,3.62,,3.45,,,265,914,3,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532304,INE602C01011,KJMCCORP,X,,,,,KJMC CORPORATE ADVISORS (INDIA,56,56,47,52.5,52.5,55,,52.5,,,3435,170429,51,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532305,INE915B01019,INDSWFTLAB,B,,,,,IND-SWIFT LABORATORIES LTD.,238.2,247.8,230.8,246.4,246.4,235.1,,246.44,,,97297,23306542,2244,F1,1,,,,,
